日期,单位净值,累计净值,复权净值
2018-09-07,1.0,1.0,1.0
2018-09-14,1.0,1.0,1.0
2018-09-21,1.0,1.0,1.0
2018-09-28,1.0,1.0,1.0
2018-10-12,1.0,1.0,1.0
2018-10-16,1.0,1.0,1.0
2018-10-17,0.997953,0.997953,0.997953
2018-10-18,1.000862,1.000862,1.000862
2018-10-19,1.002,1.002,1.002
2018-10-22,0.996787,0.996787,0.996787
2018-10-23,0.990183,0.990183,0.990183
2018-10-24,0.984394,0.984394,0.984394
2018-10-25,0.991524,0.991524,0.991524
2018-10-26,0.983,0.983,0.983
2018-10-29,1.017923,1.017923,1.017923
2018-10-30,0.977348,0.977348,0.977348
2018-10-31,1.01,1.01,1.01
2018-11-01,1.003382,1.003382,1.003382
2018-11-02,0.995,0.995,0.995
2018-11-05,0.968387,0.968387,0.968387
2018-11-06,0.985384,0.985384,0.985384
2018-11-07,1.003343,1.003343,1.003343
2018-11-08,0.993588,0.993588,0.993588
2018-11-09,1.001,1.001,1.001
2018-11-12,0.973117,0.973117,0.973117
2018-11-13,0.971441,0.971441,0.971441
2018-11-14,0.986067,0.986067,0.986067
2018-11-15,1.036967,1.036967,1.036967
2018-11-16,1.015,1.015,1.015
2018-11-19,1.004836,1.004836,1.004836
2018-11-20,1.024587,1.024587,1.024587
2018-11-21,1.048596,1.048596,1.048596
2018-11-22,1.114401,1.114401,1.114401
2018-11-23,1.13,1.13,1.13
2018-11-26,1.154041,1.154041,1.154041
2018-11-27,1.160105,1.160105,1.160105
2018-11-28,1.129637,1.129637,1.129637
2018-11-29,1.097738,1.097738,1.097738
2018-11-30,1.11,1.11,1.11
2018-12-03,1.079453,1.079453,1.079453
2018-12-04,1.105178,1.105178,1.105178
2018-12-05,1.073959,1.073959,1.073959
2018-12-06,1.066199,1.066199,1.066199
2018-12-07,1.074,1.074,1.074
2018-12-10,1.083362,1.083362,1.083362
2018-12-11,1.063347,1.063347,1.063347
2018-12-12,1.057793,1.057793,1.057793
2018-12-13,1.063928,1.063928,1.063928
2018-12-14,1.062,1.062,1.062
2018-12-17,1.050842,1.050842,1.050842
2018-12-18,1.03884,1.03884,1.03884
2018-12-19,1.04654,1.04654,1.04654
2018-12-20,1.051324,1.051324,1.051324
2018-12-21,1.072,1.072,1.072
2018-12-24,1.096503,1.096503,1.096503
2018-12-25,1.13061,1.13061,1.13061
2018-12-26,1.10572,1.10572,1.10572
2018-12-27,1.120302,1.120302,1.120302
2018-12-28,1.154,1.154,1.154
2019-01-02,1.159715,1.159715,1.159715
2019-01-03,1.251763,1.251763,1.251763
2019-01-04,1.206,1.206,1.206
2019-01-07,1.20833,1.20833,1.20833
2019-01-08,1.194843,1.194843,1.194843
2019-01-09,1.154485,1.154485,1.154485
2019-01-10,1.179249,1.179249,1.179249
2019-01-11,1.156,1.156,1.156
2019-01-14,1.149166,1.149166,1.149166
2019-01-15,1.147241,1.147241,1.147241
2019-01-16,1.14173,1.14173,1.14173
2019-01-17,1.147647,1.147647,1.147647
2019-01-18,1.13,1.13,1.13
2019-01-21,1.150202,1.150202,1.150202
2019-01-22,1.094277,1.094277,1.094277
2019-01-23,1.1091,1.1091,1.1091
2019-01-24,1.091507,1.091507,1.091507
2019-01-25,1.108,1.108,1.108
2019-01-28,1.08893,1.08893,1.08893
2019-01-29,1.135288,1.135288,1.135288
2019-01-30,1.178661,1.178661,1.178661
2019-01-31,1.178,1.178,1.178
2019-02-01,1.179,1.179,1.179
2019-02-11,1.262687,1.262687,1.262687
2019-02-12,1.294358,1.294358,1.294358
2019-02-13,1.359399,1.359399,1.359399
2019-02-14,1.371543,1.371543,1.371543
2019-02-15,1.329,1.329,1.329
2019-02-18,1.321826,1.321826,1.321826
2019-02-19,1.348109,1.348109,1.348109
2019-02-20,1.344836,1.344836,1.344836
2019-02-21,1.354435,1.354435,1.354435
2019-02-22,1.382,1.382,1.382
2019-02-25,1.567665,1.567665,1.567665
2019-02-26,1.658087,1.658087,1.658087
2019-02-27,1.635286,1.635286,1.635286
2019-02-28,1.593,1.593,1.593
2019-03-01,1.587,1.587,1.587
2019-03-04,1.725844,1.725844,1.725844
2019-03-05,1.656745,1.656745,1.656745
2019-03-06,1.680984,1.680984,1.680984
2019-03-07,1.645252,1.645252,1.645252
2019-03-08,1.599,1.599,1.599
2019-03-11,1.646565,1.646565,1.646565
2019-03-12,1.622478,1.622478,1.622478
2019-03-13,1.653184,1.653184,1.653184
2019-03-14,1.681967,1.681967,1.681967
2019-03-15,1.666,1.666,1.666
2019-03-18,1.721147,1.721147,1.721147
2019-03-19,1.689188,1.689188,1.689188
2019-03-20,1.698119,1.698119,1.698119
2019-03-21,1.692017,1.692017,1.692017
2019-03-22,1.66,1.66,1.66
2019-03-25,1.666951,1.666951,1.666951
2019-03-26,1.654181,1.654181,1.654181
2019-03-27,1.66199,1.66199,1.66199
2019-03-28,1.653175,1.653175,1.653175
2019-03-29,1.687,1.687,1.687
2019-04-01,1.777857,1.777857,1.777857
2019-04-02,1.745281,1.745281,1.745281
2019-04-03,1.752304,1.752304,1.752304
2019-04-04,1.743,1.743,1.743
2019-04-08,1.759636,1.759636,1.759636
2019-04-09,1.716551,1.716551,1.716551
2019-04-10,1.710434,1.710434,1.710434
2019-04-11,1.747691,1.747691,1.747691
2019-04-12,1.697,1.697,1.697
2019-04-15,1.706271,1.706271,1.706271
2019-04-16,1.733808,1.733808,1.733808
2019-04-17,1.705177,1.705177,1.705177
2019-04-18,1.693561,1.693561,1.693561
2019-04-19,1.723,1.723,1.723
2019-04-22,1.648594,1.648594,1.648594
2019-04-23,1.648874,1.648874,1.648874
2019-04-24,1.633559,1.633559,1.633559
2019-04-25,1.628518,1.628518,1.628518
2019-04-26,1.657,1.657,1.657
2019-04-29,1.654396,1.654396,1.654396
2019-04-30,1.662,1.662,1.662
2019-05-06,1.610363,1.610363,1.610363
2019-05-07,1.6188,1.6188,1.6188
2019-05-08,1.606529,1.606529,1.606529
2019-05-09,1.62105,1.62105,1.62105
2019-05-10,1.62,1.62,1.62
2019-05-13,1.635207,1.635207,1.635207
2019-05-14,1.645612,1.645612,1.645612
2019-05-15,1.614706,1.614706,1.614706
2019-05-16,1.645517,1.645517,1.645517
2019-05-17,1.654,1.654,1.654
2019-05-20,1.650274,1.650274,1.650274
2019-05-21,1.629858,1.629858,1.629858
2019-05-22,1.673199,1.673199,1.673199
2019-05-23,1.665694,1.665694,1.665694
2019-05-24,1.694,1.694,1.694
2019-05-27,1.671678,1.671678,1.671678
2019-05-28,1.750888,1.750888,1.750888
2019-05-29,1.74057,1.74057,1.74057
2019-05-30,1.774084,1.774084,1.774084
2019-05-31,1.764,1.764,1.764
2019-06-03,1.775913,1.775913,1.775913
2019-06-04,1.835964,1.835964,1.835964
2019-06-05,1.876234,1.876234,1.876234
2019-06-06,1.864,1.864,1.864
2019-06-10,1.916734,1.916734,1.916734
2019-06-11,2.044326,2.044326,2.044326
2019-06-12,1.98071,1.98071,1.98071
2019-06-13,1.971061,1.971061,1.971061
2019-06-14,2.144,2.144,2.144
2019-06-17,2.041321,2.041321,2.041321
2019-06-18,2.062009,2.062009,2.062009
2019-06-19,2.150479,2.150479,2.150479
2019-06-20,2.28471,2.28471,2.28471
2019-06-21,2.304,2.304,2.304
2019-06-24,2.3542,2.3542,2.3542
2019-06-25,2.48305,2.48305,2.48305
2019-06-26,2.396062,2.396062,2.396062
